"Transaction ID","Customer ID","Purchase Amount","Date of Purchase"
149,810399,10.05,2017-10-24
150,238783,18.24,2017-04-14
151,1162338,23.39,2017-08-29
152,840013,7.64,2017-03-24
153,833152,12.50,2017-01-15
154,447316,24.10,2017-01-11
155,717171,11.09,2017-06-11
156,1193335,12.97,2017-06-12
157,604565,23.57,2017-08-18
158,1209340,13.97,2017-11-07
159,976536,20.68,2017-03-28
160,864857,21.57,2017-10-16
161,546912,12.31,2017-06-03
162,205247,20.16,2017-06-01
163,427349,13.98,2017-04-23
164,786643,16.12,2017-11-10
165,319163,22.75,2017-03-28
166,1046119,9.81,2017-09-22
167,693058,21.55,2017-09-10
168,312865,20.61,2017-03-13